county,municipality,muni_code,ld,cd,census_code,prez_dem,prez_rep,johnson,stein,castle,de_la_fuente,kennedy,la_riva,moorhead,write_in,total_votes,winner,first_place,second_place,margin_victory,prez_dem_per,prez_rep_per,johnson_per,stein_per,others_total,others_per
Middlesex,Spotswood,1224,14,12,3409810,1421,2360,104,31,2,2,5,3,1,31,3960,prez_rep,2360,1421,23.71212121,35.88383838,59.5959596,2.626262626,0.782828283,148,3.737373737
Middlesex,Woodbridge,1225,19,6,3402000,21099,15848,579,417,44,26,68,19,16,245,38361,prez_dem,21099,15848,13.68838143,55.00117307,41.31279164,1.509345429,1.087041527,1169,3.047365814
Monmouth,Aberdeen,1301,13,6,3400070,4300,4090,156,106,6,3,1,1,7,0,8670,prez_dem,4300,4090,2.422145329,49.59630911,47.17416378,1.799307958,1.22260669,280,3.229527105
Monmouth,Allenhurst,1302,11,6,3400730,100,173,4,5,0,0,0,0,0,0,282,prez_rep,173,100,25.88652482,35.46099291,61.34751773,1.418439716,1.773049645,9,3.191489362
Monmouth,Allentown,1303,12,4,3400760,544,477,29,9,2,0,0,0,2,0,1063,prez_dem,544,477,6.302916275,51.17591722,44.87300094,2.72812794,0.846660395,42,3.951081844
Monmouth,Asbury Park,1304,11,6,3401960,3990,729,75,68,2,1,5,2,9,0,4881,prez_dem,3990,729,66.8100799,81.74554395,14.93546404,1.536570375,1.39315714,162,3.31899201
Monmouth,Atlantic Highlands,1305,13,6,3402110,1184,1205,68,43,2,4,4,0,4,0,2514,prez_rep,1205,1184,0.835322196,47.09626094,47.93158313,2.704852824,1.710421639,125,4.972155927
Monmouth,Avon By The Sea,1306,30,4,3402440,457,623,20,16,1,3,0,1,1,0,1122,prez_rep,623,457,14.79500891,40.73083779,55.5258467,1.782531194,1.426024955,42,3.743315508
Monmouth,Belmar,1307,30,4,3404930,1266,1576,81,43,1,1,1,2,2,0,2973,prez_rep,1576,1266,10.42717793,42.58324924,53.01042718,2.724520686,1.446350488,131,4.406323579
Monmouth,Bradley Beach,1308,30,4,3406970,985,822,60,33,2,0,1,1,3,0,1907,prez_dem,985,822,8.547456738,51.65180912,43.10435239,3.146303094,1.730466702,100,5.24383849
Monmouth,Brielle,1309,30,4,3407750,937,1978,72,21,5,2,4,0,0,0,3019,prez_rep,1978,937,34.48161643,31.03676714,65.51838357,2.384895661,0.695594568,104,3.444849288
Monmouth,Colts Neck,1310,11,4,3404560,1712,3798,120,26,7,0,0,0,2,0,5665,prez_rep,3798,1712,36.82259488,30.22065313,67.04324801,2.118270079,0.458958517,155,2.736098853
Monmouth,Deal,1311,11,6,3406660,103,204,2,1,0,0,0,0,5,0,315,prez_rep,204,103,32.06349206,32.6984127,64.76190476,0.634920635,0.317460318,8,2.53968254
Monmouth,Eatontown,1312,11,4,3409840,2725,2648,129,71,8,1,2,0,8,0,5592,prez_dem,2725,2648,1.376967096,48.73032904,47.35336195,2.306866953,1.269670959,219,3.916309013
Monmouth,Englishtown,1313,12,4,3401570,300,560,9,11,1,0,0,0,0,0,881,prez_rep,560,300,29.51191827,34.05221339,63.56413167,1.021566402,1.248581158,21,2.383654938
Monmouth,Fair Haven,1314,13,4,3402440,1779,1463,110,33,4,0,0,0,3,0,3392,prez_dem,1779,1463,9.316037736,52.44693396,43.13089623,3.242924528,0.972877359,150,4.422169811
